rownum,stateabbrv,avg smoke,cur_smoke_q1,cur_smoke_q2,cur_smoke_q3,cur_smoke_q4,avg obese,bmi_obese_q1,bmi_obese_q2,bmi_obese_q3,bmi_obese_q4,avg exercise,exercise_any_q1,exercise_any_q2,exercise_any_q3,exercise_any_q4,puninsured2010,reimb_penroll_adj10,mort_30day_hosp_z,med_prev_qual_z,primcarevis_10,diab_hemotest_10,diab_eyeexam_10,diab_lipids_10,mammogram_10,amb_disch_per1000_10,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,cs_race_theil_2000,gini99,poor_share,inc_share_1perc,frac_middleclass,scap_ski90pcm,rel_tot,cs_frac_black,cs_frac_hisp,unemp_rate,pop_d_2000_1980,lf_d_2000_1980,cs_labforce,cs_elf_ind_man,cs_born_foreign,mig_inflow,mig_outflow,pop_density,frac_traveltime_lt15,hhinc00,median_house_value,ccd_exp_tot,ccd_pup_tch_ratio,score_r,dropout_r,cs_educ_ba,tuition,gradrate_r,e_rank_b,cs_fam_wkidsinglemom,crime_total,subcty_exp_pc,taxrate,tax_st_diff_top20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TN,0.2201,0.351,0.232,0.166,0.131,0.267,0.292,0.267,0.261,0.249,0.715,0.547,0.708,0.775,0.830,16.000,"10,121.92",1.021,-0.226,79.483,86.810,61.955,81.388,65.746,92.748,0.035,0.030,0.038,0.090,0.333,0.140,0.135,0.548,-0.298,51.440,2.084,0.929,0.052,0.105,0.200,0.587,0.237,1.178,0.006,0.005,146.24,0.325,"31,559.77","113,443.34",5.185,,2.728,-0.015,15.870,"4,816.82",-0.002,38.388,0.190,0.005,"1,886.15",0.020,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TN,0.2372,0.420,0.267,0.103,0.160,0.265,0.303,0.250,0.308,0.200,0.725,0.506,0.733,0.821,0.840,19.507,"10,228.29",0.897,-0.156,82.496,86.165,62.142,84.336,61.325,90.006,0.026,0.028,0.025,0.093,0.328,0.146,0.106,0.538,-0.767,54.390,1.978,2.349,0.060,0.360,0.518,0.625,0.238,2.306,0.016,0.014,130.79,0.276,"29,958.93","122,933.19",4.506,,-3.400,-0.024,11.720,"4,762.23",-0.101,37.777,0.185,0.007,"2,004.34",0.023,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TN,0.2695,0.364,0.211,0.103,0.400,0.299,0.321,0.356,0.393,0.125,0.723,0.475,0.683,0.800,0.933,17.746,"12,756.42",0.712,-2.703,81.507,81.567,49.508,77.836,46.039,199.635,0.024,0.015,0.026,0.064,0.334,0.271,0.107,0.467,-1.270,66.781,1.465,0.616,0.068,0.014,0.153,0.479,0.234,0.708,0.008,0.012,65.57,0.359,"22,328.48","82,250.73",5.614,15.085,-9.315,-0.005,9.077,"11,840.35",0.111,39.049,0.211,0.004,"1,189.82",0.015,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TN,0.2180,0.324,0.242,0.189,0.117,0.226,0.259,0.217,0.252,0.176,0.750,0.581,0.745,0.813,0.863,14.888,"9,913.50",0.284,0.516,84.625,88.168,65.371,84.775,67.078,70.847,0.092,0.084,0.102,0.210,0.358,0.130,0.151,0.504,-0.222,60.195,5.636,1.167,0.040,0.203,0.311,0.615,0.146,1.997,0.016,0.014,225.96,0.269,"35,884.29","126,013.10",4.900,,-6.032,-0.011,22.527,"3,480.44",-0.024,37.841,0.206,0.005,"2,356.85",0.019,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NC,0.2372,0.323,0.270,0.207,0.148,0.240,0.286,0.256,0.222,0.198,0.763,0.607,0.748,0.819,0.877,19.026,"9,635.79",0.506,0.468,81.213,88.513,70.065,82.007,65.853,68.497,0.072,0.061,0.081,0.262,0.346,0.108,0.119,0.500,-0.018,48.794,17.353,5.799,0.051,0.267,0.316,0.656,0.215,5.295,0.022,0.019,246.75,0.292,"38,891.75","143,681.90",5.463,15.385,-2.297,0.023,22.389,"9,715.33",0.052,36.969,0.220,0.011,"1,891.45",0.018,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,VA,0.2230,0.317,0.214,0.150,0.211,0.275,0.270,0.308,0.205,0.316,0.768,0.581,0.698,0.925,0.868,20.517,"8,085.07",1.660,-0.105,82.361,85.947,64.341,76.993,64.889,74.797,0.024,0.015,0.028,0.137,0.338,0.132,0.107,0.538,-0.903,45.443,22.381,2.936,0.061,-0.007,-0.039,0.599,0.395,2.499,0.007,0.010,105.83,0.313,"31,264.81","99,081.32",5.740,,4.227,,10.429,"1,113.00",-0.116,37.295,0.241,0.008,"1,557.88",0.015,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NC,0.2212,0.294,0.248,0.195,0.148,0.259,0.292,0.268,0.257,0.217,0.749,0.587,0.738,0.801,0.870,19.701,"8,412.72",0.717,0.647,82.404,88.445,69.845,82.275,68.605,63.478,0.068,0.058,0.077,0.220,0.341,0.112,0.182,0.510,-0.513,43.397,21.756,4.060,0.057,0.260,0.295,0.666,0.261,5.022,0.017,0.015,238.51,0.305,"36,581.84","136,818.29",5.008,16.678,-3.716,0.016,19.938,"4,528.49",-0.017,36.477,0.237,0.013,"1,932.46",0.017,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NC,0.1957,0.267,0.243,0.165,0.108,0.262,0.300,0.292,0.244,0.211,0.728,0.582,0.685,0.810,0.835,22.060,"9,252.90",0.020,0.613,84.900,89.747,65.611,85.727,72.050,89.782,0.012,0.009,0.012,0.114,0.320,0.123,0.126,0.560,-0.193,56.139,3.193,3.168,0.066,0.112,0.153,0.617,0.275,2.743,0.012,0.012,76.07,0.289,"31,544.06","119,797.41",5.296,16.178,6.698,0.021,11.517,880.00,-0.123,38.344,0.165,0.009,"1,661.03",0.014,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,VA,0.2583,0.333,0.367,0.333,0.000,0.395,0.367,0.345,0.667,0.200,0.619,0.500,0.733,0.444,0.800,21.847,"9,194.99",1.508,0.516,84.355,87.838,69.937,82.452,68.155,79.447,0.005,0.004,0.006,0.131,0.269,0.142,0.087,0.608,-0.801,43.018,2.896,3.159,0.073,0.079,0.138,0.594,0.321,2.285,0.006,0.006,55.67,0.325,"30,683.01","95,959.01",5.377,12.326,4.900,,9.617,,,40.813,0.167,0.005,"1,208.09",0.014,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SC,0.2097,0.316,0.243,0.175,0.106,0.248,0.307,0.259,0.234,0.194,0.734,0.564,0.711,0.795,0.866,21.731,"9,127.57",0.689,0.244,83.744,85.040,67.504,80.690,67.327,74.032,0.045,0.044,0.045,0.139,0.341,0.126,0.131,0.529,-1.001,59.609,20.750,2.517,0.058,0.237,0.285,0.630,0.295,2.906,0.017,0.016,181.29,0.299,"33,416.75","116,802.48",5.421,15.940,-1.009,,16.931,"7,264.36",0.007,36.406,0.246,0.010,"2,498.81",0.018,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
